,Title,Company,Rating,Location,Salary,Post_date,Extract_date,Job_url
1396,Lead Data Science Analyst,Discover,3.9,"['Riverwoods, IL 60015']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=e87ddf5360265526&fccid=6ce7e0d9f67a9961&vjs=3
1397,"Director, Data Scientist - Corporate - US",Sysco,3.4,"['Houston, TX']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=714cfe9048af6e33&fccid=053befe8409ab9e4&vjs=3
1398,Senior Data Science Engineer |LATAM|,BairesDev,4.5,"['Colon, PA•Remote']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=1738f47c5a72fad2&fccid=29707109e86166e5&vjs=3
1399,Lead Data Science Analyst - Digital Analytics,Discover,3.9,"['Riverwoods, IL 60015']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=93fc787b8d54aa23&fccid=6ce7e0d9f67a9961&vjs=3
1400,Lead Data Science Analyst,Discover,3.9,"['Riverwoods, IL 60015']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=e87ddf5360265526&fccid=6ce7e0d9f67a9961&vjs=3
1401,"Director, Data Scientist - Corporate - US",Sysco,3.4,"['Houston, TX']",,1 day ago,2021-09-18,https://www.indeed.com/rc/clk?jk=714cfe9048af6e33&fccid=053befe8409ab9e4&vjs=3
1402,Senior Data Science Engineer |LATAM|,BairesDev,4.5,"['Colon, PA•Remote']",,3 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=1738f47c5a72fad2&fccid=29707109e86166e5&vjs=3
1403,Senior Data Scientist,Radancy,3.7,"['Chicago, IL 60695 (Loop area)•Remote']",,2 days ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BmBivckoKIwb-7nkAIiT2NR1int7Qkje2fhghJUHqGcNC_76hTp96v5qMJm84bkuimC6eICsw7pP1X-BnohdWRRqhM3HEsubsGl1SRLbm4fEjnTrPWiH6Ej6ANGi80uKpCj7EaudaREyqCeE0JuZEU4o1K4mgwBxe8kDJSB1eGG03RXPVEvkl-IE3da2I-mHw_ZJmm94sgeOLZvUlDOxBUSvNbi_JKUIkSRPSJe-AmuYcASaQc7wmSGIh0DsI21hfroFhOK7vfk8ltbDcnrveD6G-ZhsVEWCy-zYi-s-CjGe0Amf6yNY6Ztv52_e9TvTscS-aDPJbKP40CI9OCAt6S6ylLIHh7n_k7NOUHzLcYBlLvkZ1yWVvfOsx0Jzze07zftMftJsEfgtNattEplPLUYNBK4tc-7ZULQL2nToh3bmE8to60Nse0&p=10&fvj=0&vjs=3
1404,Global HIV Data Scientist,ICF,3.4,"['Rockville, MD 20850']",,2 days ago,2021-09-18,https://www.indeed.com/rc/clk?jk=096451852563be9d&fccid=e290923a98afee94&vjs=3
1405,"Data Scientist, Consultant - Financial Management",Guidehouse,3.4,"['Pomfret, MD 20675']",,5 days ago,2021-09-18,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOpfXD7aCvxSiR73RUZjyy6OuclKM9Xpb799vH3iY_yLKGpcQzZ_O8bUunUZGLJ7PTRCMk0WFs9cSue9aQfSCt6tJ5wjhL3hC-gcjDvTa1GqA-s13ni-MrvJZ3aaP2SCq_Tp6ZbjPA1E3c9Lv8pdCWP8aJhPO14UnOa15z0NoiTIfzfXpnrt2w8o3wn7hn_Mw9y6Q4djJRp-usxwz7jgQWpQWuOmzZMnnykXcdd4Fy9FRTPWIMAhLcovCWKASiFdmZC35UuDoo1hwN1tD5DzlVcsYzPLBpWC0djlNqBc-GYB0gnK__sIWbdkjUq339E00LV5naZCO42U_DqoUE1luLpsXTfkJ_QK4x1wyUhJ_nr7_q2DR6wLoEoA-PXS5h-5b6Q4tcCeiBd5QXoB_fsLZxUq0AdH3oYCgLVATdUriYWV0zqCHUjHVI&p=13&fvj=0&vjs=3
